CC or CH,Apartment Name,CC_ID,Priority_Last Date,Priority,Add,District,City,Latitude,Longitude,CL Apartment Name,Ngày hoàn thành,Handover Y-Q,Quantity,Ngày bàn giao cuối cùng,Số Lượng Biệt Thự,Price/m2,rating,user_ratings_total,business_status,place_id,Total Population,Total Households,Average Household Size,CC_Segment,Sales,que_point,Close_Store
CC,FLC SeaTower Quy Nhơn,CCBDI0007,,0,"Đường An Dương Vương,Nguyễn Văn Cừ,Quy Nhơn,Bình Định",Quy Nhơn,Bình Định,13.7553026,109.2173772,,,,,,,,,,,,,,,Trung bình,,,
CC,Phú Mỹ Lộc,CCBDI0010,,0,"Tam Quan,Hoài Nhơn,Bình Định",Hoài Nhơn,Bình Định,14.5532988,109.0423479,,2020-10-31 0:00:00,2020-4,,,,,,,,,,,,,,,
CC,Quy Nhơn New City,CCBDI0011,,0,"Đập Đá,An Nhơn,Bình Định",An Nhơn,Bình Định,13.9227714,109.0906471,,2020-12-31 0:00:00,2020-4,,,,,,,,,,,,,,,
CC,Tân An Riverside,CCBDI0012,,0,"Quốc lộ 1A,Bình Định,An Nhơn,Bình Định",An Nhơn,Bình Định,13.8929459,109.1137545,,2019-12-30 0:00:00,2019-4,,,,,,,,,,,,,,,
CC,Green Home Quy Nhơn,CCBDI0013,,0,"Đường Quốc lộ 1D,Ghềnh Ráng,Quy Nhơn,Bình Định",Quy Nhơn,Bình Định,13.7237485,109.2082218,,,,,,,,,,,,,,,,,,
CC,Khu đô thị Green City,CCBDU0001,,0,"Đường ĐT 741, Xã Phước Hòa, Phú Giáo, Bình Dương",Phú Giáo,Bình Dương,11.229034,106.7302046,,,,,,,,,,,,,,,Trung bình,,,
CC,The Eden City,CCBDU0002,,0,"Đường ĐT 749, Xã Long Nguyên, Bàu Bàng, Bình Dương",Bàu Bàng,Bình Dương,11.17036,106.576826,The Eden City,,,40,,,,,,,,,,,Trung bình,,,
CC,Dragon City Bàu Bàng,CCBDU0003,,0,"Đường ĐT 749C, Xã Lai Uyên, Bàu Bàng, Bình Dương",Bàu Bàng,Bình Dương,11.2436658,106.6368628,,,,,,,,,,,,,,,Trung bình,,,
CC,Hưng Thịnh Golden Land,CCBDU0004,,0,"Đường Quốc Lộ 13, Bến Cát, Bình Dương",Bến Cát,Bình Dương,11.1318658,106.6072959,Hưng Thịnh Golden Land,,,,,,,,,,,,,,Trung bình,,,
CC,KĐT Center City 3,CCBDU0005,,0,"Đường ĐT 749A, Xã Long Nguyên, Bàu Bàng, Bình Dương","Bàu Bàng,",Bình Dương,11.2212577,106.5621954,Center City 3,,,,,,,,,,,,,,Trung bình,,,
CC,Khu đô thị Tân Phú,CCBDU0006,,0,"Đường Võ Văn Kiệt, Thủ Dầu Một, Bình Dương",Thủ Dầu Một,Bình Dương,11.0432189,106.6759996,,,,,,,,,,,,,,,Trung bình,,,
CC,Khu đô thị Phương Trường An,CCBDU0007,,0,"Xã Tân Định, Bến Cát, Bình Dương",Bến Cát,Bình Dương,11.06412,106.6281989,Khu đô thị Phương Trường An,,,,,,,,,,,,,,Trung bình,,,
CC,Khu đô thị Hạnh Phúc,CCBDU0008,,0,"Đường ĐT 741, Xã Chánh Phú Hòa, Bến Cát, Bình Dương",Bến Cát,Bình Dương,11.148719,106.6708195,,,,,,,,,,,,,,,Trung bình,,,
CC,The Sun City Thuận An,CCBDU0009,,0,"Đường ĐT 743, Phường An Phú, Thuận An, Bình Dương",Thuận An,Bình Dương,10.947979,106.742176,The Sun City,,,,,,,,,,,,,,Trung bình,,,
CC,Oasis City,CCBDU0010,,0,"Đường Vành Đai 4, Phường Mỹ Phước, Bến Cát, Bình Dương",Bến Cát,Bình Dương,11.1079767,106.6023188,Oasis City,,,,,,,,,,,,,,Trung bình,,,
CC,Khu đô thị Newtown 9,CCBDU0011,,0,"Đường ĐT 742, Xã Vĩnh Tân, Tân Uyên, Bình Dương",Tân Uyên,Bình Dương,11.1227934,106.7093179,Newtons,3/1/2019,2019-1,161,,,,,,,,,,,Trung bình,,,
CC,New Times City,CCBDU0012,,0,"Xã Hội Nghĩa, Tân Uyên, Bình Dương",Tân Uyên,Bình Dương,11.1005706,106.767069,,,,,,,,,,,,,,,Trung bình,,,
CC,Khu đô thị Newtown 8,CCBDU0013,,0,"Đường ĐT 747, Phường Uyên Hưng, Tân Uyên, Bình Dương",Tân Uyên,Bình Dương,11.0791185,106.7837461,,,,,,,,,,,,,,,Trung bình,,,
CC,Center City 2,CCBDU0014,,0,"Đường DH420, Phường Uyên Hưng, Tân Uyên, Bình Dương",Tân Uyên,Bình Dương,11.0758433,106.7880399,,,,,,,,,,,,,,,Trung bình,,,
CC,Hài Mỹ New City,CCBDU0015,,0,"Đường Mỹ Phước Tân Vạn, Phường Thuận Giao, Thuận An, Bình Dương",Thuận An,Bình Dương,10.9665213,106.7186051,Hài Mỹ New City,,,,,,,,,,,,,,Trung bình,,,
CC,Khu đô thị Hưng Phát,CCBDU0016,,0,"Đường Hùng Vương, xã Thới Hòa, Bến Cát, Bình Dương",Bến Cát,Bình Dương,11.1509531,106.5876177,,,,,,,,,,,,,,,Trung bình,,,
CC,Khu đô thị Thịnh Gia,CCBDU0017,,0,"Đường Quốc Lộ 13, Xã Tân Định, Bến Cát, Bình Dương",Bến Cát,Bình Dương,11.0548482,106.6309082,,,,,,,,,,,,,,,Trung bình,,,
CC,Diamond City Bình Dương,CCBDU0018,,0,"Đường ĐT 746, Xã Tân Thành, Tân Uyên, Bình Dương",Tân Uyên,Bình Dương,11.0018735,106.7145983,Diamond City (GĐ1),12/30/2018,2018-4,726,,,,,,,,,,,Trung bình,,,
CC,Golden Mall,CCBDU0019,,0,"Đường ĐT 743C, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",Dĩ An,Bình Dương,10.9209613,106.7479166,Golden Mall Quận 9,,,,,,,,,,,,,,Trung bình,,,
CC,Khu dân cư Phú Hồng Thịnh 10,CCBDU0020,,0,"Đường Quốc lộ 1K, Phường Bình An, Dĩ An, Bình Dương",Dĩ An,Bình Dương,10.9094715,106.7956442,,,,,,,,,,,,,,,Trung bình,,,
CC,Khu đô thị Phúc Đạt,CCBDU0023,,0,"Đường Mỹ Phước Tân Vạn, Phường Phú Lợi, Thủ Dầu Một, Bình Dương",Dầu Một,Bình Dương,10.9916401,106.6874938,Chung cư Phúc Đạt,12/1/2019,2019-4,439,,,,,,,,,,,Trung bình,,,
CC,Khu đô thị Bình Hoà,CCBDU0024,,0,"Đường Bình Hòa 24, Phường Bình Hòa, Thuận An, Bình Dương",Thuận An,Bình Dương,10.8920994,106.731375,,,,,,,,,,,,,,,Trung bình,,,
CC,Midori Park,CCBDU0026,,0,"Đường Lý Thái Tổ, phường Hòa Phú, Thủ Dầu Một, Bình Dương",Thủ Dầu Một,Bình Dương,11.0558492,106.6863738,Midori Park – giai đoạn 1,6/30/2017,2017-2,,,,,,,,,,,,Cao cấp,,,
CC,Golden Center City 2,CCBDU0028,,0,"Hai mặt tiền Quốc lộ 13 và Ngô Quyền, thị xã Bến Cát, Bình Dương",Bến Cát,Bình Dương,11.2076722,106.6273476,,,,,,,,,,,,,,,Trung bình,,,
CC,Khu dân cư An Thịnh Phát 3,CCBDU0029,,0,"Mỹ Phước - Tân Vạn, Dĩ An, Bình Dương",Dĩ An,Bình Dương,10.9340516,106.761284,,,,,,,,,,,,,,,Trung bình,,,
CC,Khu đô thị Đông Bình Dương,CCBDU0030,,0,"Đường Nguyễn Thị Minh Khai, Phường Tân Bình, Dĩ An, Bình Dương",Dĩ An,Bình Dương,10.9309277,106.7640265,,,,,,,,,,,,,,,Trung bình,,,
CC,New Town,CCBDU0031,,0,"Xã Hòa Lợi, huyện Bến Cát, tỉnh Bình Dương",Bến Cát,Bình Dương,11.0908499,106.6703963,,,,,,,,,,,,,,,Trung bình,,,
CC,Khu dân cư Tân Bình,CCBDU0032,,0,"Đường Lê Hồng Phong, Phường Tân Bình, Dĩ An, Bình Dương",Dĩ An,Bình Dương,10.9336811,106.7531419,,,,,,,,,,,,,,,Trung bình,,,
CC,Khu đô thị Phước Hòa GoldenLand,CCBDU0033,,0,"Xã Phước Hòa, Phú Giáo, Bình Dương",Phú Giáo,Bình Dương,11.234789,106.7352584,,,,,,,,,,,,,,,Trung bình,,,
CC,Nhà ở Happy Home,CCBDU0034,,0,"Mỹ Phước, Bến Cát, Bình Dương",Bến Cát,Bình Dương,11.1488534,106.6114474,Happy Home,,,,,,,,,,,,,,Trung bình,,,
CC,Golden Center City,CCBDU0035,,0,"Quốc lộ 13, Khu dân cư Mỹ Phước 4, Thị xã Bến Cát, tỉnh Bình Dương",Bến Cát,Bình Dương,11.0970808,106.6225795,,,,,,,,,,,,,,,Trung bình,,,
CC,The Garden Houses,CCBDU0036,,0,"Xã Định An, Dầu Tiếng, Bình Dương",Dầu Tiếng,Bình Dương,11.3542662,106.3699271,,,,,,,,,,,,,,,Trung bình,,,
CC,Khu đô thị RichHome 2,CCBDU0037,,0,"Phường Hòa Lợi, Thị xã Bến Cát, Tỉnh Bình Dương",Bến Cát,Bình Dương,11.1127106,106.6703963,,,,,,,,,,,,,,,Trung bình,,,
CC,Khu đô thị RichHome,CCBDU0038,,0,"Đường Quốc lộ 14, Xã Chánh Phú Hòa, Bến Cát, Bình Dương",Bến Cát,Bình Dương,10.8273919,107.7343614,,,,,,,,,,,,,,,Trung bình,,,
CC,Phố thương mại City Garden,CCBDU0039,,0,"Xã Thới Hòa, Bến Cát, Bình Dương",Bến Cát,Bình Dương,11.1044443,106.6232359,,,,,,,,,,,,,,,Trung bình,,,
CC,The Mall City II,CCBDU0040,,0,"Xã Vĩnh Tân, Tân Uyên, Bình Dương",Tân Uyên,Bình Dương,11.1156601,106.7060936,,,,,,,,,,,,,,,Trung bình,,,
CC,Khu dân cư Hill Land 19,CCBDU0041,,0,"Đường ĐT 747, Xã Khánh Bình, Tân Uyên, Bình Dương",Tân Uyên,Bình Dương,11.0274906,106.7748785,,,,,,,,,,,,,,,Trung bình,,,
CC,An Sơn Riverside,CCBDU0042,,0,"Xã An Sơn, Thuận An, Bình Dương",Thuận An,Bình Dương,10.9334564,106.66353,,,,,,,,,,,,,,,Trung bình,,,
CC,KĐT Ecohomes Tri Thức Trẻ,CCBDU0043,,0,"Thị xã Dĩ An, Bình Dương",Dĩ An,Bình Dương,10.8964757,106.7527418,,,,,,,,,,,,,,,Trung bình,,,
CC,Bến Cát Golden Land,CCBDU0044,,0,"Đường Hùng Vương, Xã An Điền, Bến Cát, Bình Dương",Bến Cát,Bình Dương,11.1512599,106.5880667,,,,,,,,,,,,,,,Trung bình,,,
