fid,Total Population,Total Households,Average Household Size
837139,4528,1106,4.09
837140,3286,803,4.09
837141,4638,1133,4.09
837142,6429,1580,4.07
837143,5638,1396,4.04
838763,7296,2323,3.14
838764,8102,2556,3.17
838765,9066,2857,3.17
838766,13859,4027,3.44
838767,15272,4351,3.51
838768,12128,3456,3.51
838769,9300,2650,3.51
838770,7401,2025,3.65
838771,5746,1595,3.6
838772,2343,607,3.86
838773,1403,358,3.92
838774,1664,425,3.92
838775,2752,703,3.91
838776,1857,474,3.92
838777,1561,388,4.02
838778,724,185,3.91
838779,331,84,3.94
838780,0,0,0
838781,107,26,4.12
838782,0,0,0
838783,0,0,0
838784,260,64,4.06
840405,9135,2906,3.14
840406,9661,2927,3.3
840407,10224,3092,3.31
840408,13091,3732,3.51
840409,13481,3841,3.51
840410,12671,3610,3.51
840411,12506,3562,3.51
840412,10795,3029,3.56
840413,6920,1912,3.62
840414,1074,281,3.82
840415,36,9,4
840416,936,239,3.92
840417,4509,1151,3.92
840418,5366,1370,3.92
840419,1980,506,3.91
840420,906,231,3.92
840421,145,37,3.92
840422,0,0,0
840423,0,0,0
842047,13015,3814,3.41
842048,14513,4135,3.51
842049,14385,4099,3.51
842050,14894,4244,3.51
842051,15791,4499,3.51
842052,13816,3899,3.54
842053,10075,2776,3.63
842054,9755,2659,3.67
842055,7540,2056,3.67
842056,4069,1109,3.67
842057,73,19,3.84
842058,2218,566,3.92
842059,7599,1940,3.92
842060,5290,1351,3.92
842061,1547,395,3.92
842062,729,186,3.92
842063,0,0,0
842064,0,0,0
842065,0,0,0
843689,9015,2842,3.17
843690,10359,3002,3.45
843691,11310,3272,3.46
843692,12095,3446,3.51
843693,10169,2864,3.55
843694,8748,2385,3.67
843695,7697,2098,3.67
843696,7983,2176,3.67
843697,5695,1552,3.67
843698,3269,890,3.67
843699,2152,569,3.78
843700,3698,951,3.89
843701,3998,1021,3.92
843702,919,235,3.91
843703,3501,894,3.92
843704,5147,1314,3.92
843705,0,0,0
843706,0,0,0
845331,8729,2779,3.14
845332,2040,649,3.14
845333,6662,2020,3.3
845334,12854,3660,3.51
845335,4225,1165,3.63
845336,8877,2420,3.67
845337,2589,706,3.67
845338,1460,398,3.67
845339,1142,311,3.67
845340,2786,759,3.67
845341,2327,634,3.67
845342,2335,631,3.7
845343,1013,271,3.74
845344,1504,384,3.92
845345,7762,1982,3.92
845346,3618,925,3.91
845347,385,107,3.6
846973,8366,2664,3.14
846974,5152,1640,3.14
846975,12003,3525,3.41
846976,11604,3248,3.57
846977,1810,493,3.67
846978,8326,2270,3.67
846979,4676,1275,3.67
846980,384,105,3.66
846981,759,207,3.67
846982,1536,419,3.67
846983,2316,631,3.67
846984,4138,1128,3.67
846985,686,187,3.67
846986,3795,973,3.9
846987,7131,1821,3.92
846988,962,247,3.89
846989,156,43,3.63
848615,6030,1920,3.14
848616,8383,2666,3.14
848617,11646,3322,3.51
848618,7627,2081,3.67
848619,6419,1750,3.67
848620,2235,609,3.67
848621,744,203,3.67
848622,1254,342,3.67
848623,2191,597,3.67
848624,1207,329,3.67
848625,2356,642,3.67
848626,2180,594,3.67
848627,795,217,3.66
848628,599,155,3.86
848629,577,147,3.93
848630,52,14,3.71
850257,7154,2276,3.14
850258,9092,2738,3.32
850259,6922,1889,3.66
850260,7295,1989,3.67
850261,7275,1983,3.67
850262,5846,1594,3.67
850263,769,210,3.66
850264,2412,658,3.67
850265,2081,567,3.67
850266,2163,590,3.67
850267,2591,706,3.67
850268,429,117,3.67
850269,112,30,3.73
850270,0,0,0
850271,0,0,0
850272,0,0,0
851899,7512,2209,3.4
851900,5970,1627,3.67
851901,4637,1264,3.67
851902,2770,755,3.67
851903,2587,705,3.67
851904,6464,1762,3.67
851905,2119,578,3.67
851906,1491,407,3.66
851907,2163,590,3.67
851908,2610,712,3.67
851909,895,244,3.67
851910,1119,305,3.67
851911,149,41,3.63
851912,0,0,0
851913,0,0,0
853541,3998,1090,3.67
853542,1750,477,3.67
853543,1792,488,3.67
853544,1581,431,3.67
853545,2377,648,3.67
853546,3436,937,3.67
853547,1150,313,3.67
853548,1260,344,3.66
853549,1249,341,3.66
853550,2554,696,3.67
853551,336,91,3.69
853552,186,51,3.65
853553,0,0,0
853554,0,0,0
853555,0,0,0
855183,161,44,3.66
855184,298,81,3.68
855185,1697,463,3.67
855186,1802,491,3.67
855187,1703,464,3.67
855188,1342,366,3.67
855189,149,41,3.63
855190,0,0,0
855191,205,56,3.66
855192,1659,452,3.67
855193,858,234,3.67
855194,186,51,3.65
855195,373,102,3.66
855196,0,0,0
856831,1193,325,3.67
856832,1119,305,3.67
856833,447,122,3.66
856834,1193,325,3.67
856835,932,254,3.67
856836,783,213,3.68
856837,858,234,3.67
856838,112,30,3.73
858474,597,163,3.66
858475,1678,457,3.67
858476,2461,671,3.67
858477,1454,396,3.67
858478,783,213,3.68
858479,1454,396,3.67
858480,597,163,3.66
860117,820,224,3.66
860118,1156,315,3.67
860119,671,183,3.67
860120,0,0,0
